ID_Venda,Data_Venda,Produto,Categoria,Quantidade,Preço_Unitário,Vendedor,Região
62,2025-09-21,Teclado Mecânico,Informática,3,786.44,Maria,Centro-Oeste
63,2025-03-12,Mouse Gamer,Informática,2,367.11,Carlos,Sudeste
64,2025-03-30,"Monitor 24""",Informática,4,1092.75,Maria,Sul
65,2025-02-23,Mesa de Escritório,Móveis,3,904.16,Carlos,Norte
66,2025-02-03,SSD 1TB,Informática,2,1361.98,Ana,Norte
67,2025-03-29,Cadeira Office,Móveis,2,1023.49,Maria,Centro-Oeste
68,2025-09-17,Fone de Ouvido,Periféricos,2,1347.05,Maria,Nordeste
69,2025-08-03,Webcam Full HD,Periféricos,3,1276.25,Pedro,Sudeste
70,2025-08-22,Mesa de Escritório,Móveis,4,1133.83,João,Nordeste
71,2025-06-30,Mesa de Escritório,Móveis,2,404.25,Paula,Norte
72,2025-11-14,Roteador Wi-Fi,Informática,1,1318.0,Juliana,Sudeste
73,2025-06-04,Mouse Gamer,Informática,2,846.43,Juliana,Sudeste
74,2025-10-26,Teclado Mecânico,Informática,2,1026.22,Paula,Centro-Oeste
75,2025-04-19,"Monitor 24""",Informática,1,499.84,Paula,Norte
76,2025-01-31,Cadeira Office,Móveis,2,865.16,Juliana,Centro-Oeste
77,2025-12-23,Roteador Wi-Fi,Informática,2,1130.51,Carlos,Centro-Oeste
78,2025-12-01,Mesa de Escritório,Móveis,1,82.36,João,Sudeste
79,2025-08-03,"Monitor 24""",Informática,2,921.96,Fernando,Centro-Oeste
80,2025-01-06,SSD 1TB,Informática,1,1032.75,João,Sudeste
81,2025-03-22,Mouse Gamer,Informática,1,1401.03,Fernando,Nordeste
82,2025-12-14,SSD 1TB,Informática,4,264.59,Carlos,Sudeste
83,2025-07-14,Fone de Ouvido,Periféricos,1,807.9,Carlos,Sudeste
84,2025-09-01,"Monitor 24""",Informática,2,1439.26,Ana,Nordeste
85,2025-05-03,Fone de Ouvido,Periféricos,2,135.64,Ana,Sudeste
86,2025-11-05,Mouse Gamer,Informática,1,1121.47,Pedro,Sul
87,2025-11-26,Webcam Full HD,Periféricos,3,584.38,Fernando,Nordeste
88,2025-05-29,Cadeira Office,Móveis,3,306.15,Carlos,Norte
89,2025-07-12,Webcam Full HD,Periféricos,2,711.54,Juliana,Norte
90,2025-06-12,Webcam Full HD,Periféricos,1,967.02,Maria,Norte
91,2025-03-31,"Monitor 24""",Informática,1,920.66,Pedro,Centro-Oeste
92,2025-08-18,Roteador Wi-Fi,Informática,2,1337.39,Carlos,Centro-Oeste
93,2025-07-24,Impressora,Periféricos,4,808.64,Paula,Nordeste
94,2025-05-18,Fone de Ouvido,Periféricos,3,258.92,João,Norte
95,2025-03-31,Mouse Gamer,Informática,3,1138.95,Fernando,Sudeste
96,2025-12-10,Roteador Wi-Fi,Informática,4,990.03,Ana,Sudeste
97,2025-12-16,"Monitor 24""",Informática,1,558.58,Ana,Sudeste
98,2025-06-29,Mouse Gamer,Informática,4,223.99,Paula,Sul
99,2025-07-20,Webcam Full HD,Periféricos,1,1192.42,Pedro,Centro-Oeste
100,2025-06-01,"Monitor 24""",Informática,2,1198.33,Maria,Sudeste
101,2025-01-12,SSD 1TB,Informática,2,1265.53,Carlos,Norte
102,2025-12-01,Fone de Ouvido,Periféricos,3,97.89,Paula,Nordeste
103,2025-11-16,Teclado Mecânico,Informática,1,401.64,Carlos,Norte
104,2025-08-09,Impressora,Periféricos,3,161.33,Carlos,Centro-Oeste
105,2025-10-11,Mouse Gamer,Informática,1,428.08,Carlos,Sul
106,2025-02-21,Webcam Full HD,Periféricos,3,757.38,Carlos,Centro-Oeste
107,2025-05-04,Cadeira Office,Móveis,2,1117.29,João,Sudeste
108,2025-08-03,Mesa de Escritório,Móveis,2,769.45,Pedro,Sudeste
109,2025-06-10,Mesa de Escritório,Móveis,3,821.73,Maria,Sul
110,2025-11-13,Roteador Wi-Fi,Informática,4,977.07,Fernando,Nordeste
111,2025-08-06,"Monitor 24""",Informática,4,928.23,Fernando,Nordeste
112,2025-11-21,Fone de Ouvido,Periféricos,1,477.71,Carlos,Norte
113,2025-02-02,SSD 1TB,Informática,1,446.63,Fernando,Norte
114,2025-05-14,Teclado Mecânico,Informática,2,152.09,Juliana,Sudeste
115,2025-12-08,Impressora,Periféricos,1,102.03,Paula,Sudeste
116,2025-12-22,Mouse Gamer,Informática,3,1051.45,Juliana,Norte
117,2025-04-28,Webcam Full HD,Periféricos,2,323.75,Maria,Sudeste
118,2025-05-30,Teclado Mecânico,Informática,2,565.2,Juliana,Nordeste
119,2025-04-16,Fone de Ouvido,Periféricos,4,252.57,Paula,Norte
120,2025-01-27,Cadeira Office,Móveis,4,313.42,Fernando,Centro-Oeste
121,2025-07-23,Webcam Full HD,Periféricos,3,925.79,João,Nordeste
122,2025-10-24,"Monitor 24""",Informática,4,1273.81,Fernando,Nordeste
123,2025-10-10,Teclado Mecânico,Informática,1,521.57,João,Sul
124,2025-09-01,Teclado Mecânico,Informática,2,931.99,Carlos,Norte
125,2025-06-30,Impressora,Periféricos,2,564.65,Pedro,Sudeste
126,2025-10-29,Mesa de Escritório,Móveis,1,991.6,Juliana,Norte
127,2025-04-21,Mouse Gamer,Informática,3,182.29,Pedro,Norte
128,2025-07-07,Cadeira Office,Móveis,1,710.52,Paula,Sudeste
129,2025-05-17,Roteador Wi-Fi,Informática,4,503.36,Paula,Centro-Oeste
130,2025-01-12,Webcam Full HD,Periféricos,2,553.59,João,Nordeste
131,2025-07-09,Cadeira Office,Móveis,2,477.34,Fernando,Sul
132,2025-04-04,Fone de Ouvido,Periféricos,4,953.42,Paula,Nordeste
133,2025-10-29,SSD 1TB,Informática,2,934.11,João,Norte
134,2025-07-28,Roteador Wi-Fi,Informática,3,116.01,João,Norte
135,2025-05-04,Teclado Mecânico,Informática,3,197.9,João,Sudeste
136,2025-11-26,Webcam Full HD,Periféricos,3,1085.41,Ana,Centro-Oeste
137,2025-06-01,Cadeira Office,Móveis,2,604.97,Carlos,Nordeste
138,2025-05-27,Fone de Ouvido,Periféricos,2,1332.46,Maria,Sul
139,2025-03-23,"Monitor 24""",Informática,2,1175.2,Pedro,Nordeste
140,2025-10-11,Teclado Mecânico,Informática,3,420.35,João,Norte
141,2025-10-17,Webcam Full HD,Periféricos,1,1242.81,Maria,Centro-Oeste
142,2025-04-30,"Monitor 24""",Informática,2,677.64,Juliana,Sudeste
143,2025-04-01,"Monitor 24""",Informática,3,1038.58,Pedro,Nordeste
144,2025-12-28,Mesa de Escritório,Móveis,2,1426.24,Ana,Centro-Oeste
145,2025-05-02,SSD 1TB,Informática,3,594.61,Juliana,Norte
146,2025-03-23,Impressora,Periféricos,2,1288.7,Maria,Nordeste
147,2025-08-15,"Monitor 24""",Informática,1,289.38,Ana,Norte
148,2025-10-15,Impressora,Periféricos,1,802.96,Maria,Sudeste
149,2025-08-03,Mouse Gamer,Informática,3,1237.7,Pedro,Norte
150,2025-03-03,Mouse Gamer,Informática,2,1445.77,Paula,Sul
151,2025-07-11,"Monitor 24""",Informática,4,651.22,Fernando,Norte
152,2025-12-01,SSD 1TB,Informática,1,939.96,Fernando,Norte
153,2025-04-05,Webcam Full HD,Periféricos,1,1362.71,Maria,Centro-Oeste
154,2025-06-16,Roteador Wi-Fi,Informática,2,234.03,Pedro,Sul
155,2025-10-18,Roteador Wi-Fi,Informática,2,1310.86,Carlos,Sul
156,2025-08-22,SSD 1TB,Informática,3,1302.19,Ana,Nordeste
157,2025-04-08,Fone de Ouvido,Periféricos,3,1277.23,Juliana,Sul
158,2025-03-23,Webcam Full HD,Periféricos,2,548.17,Pedro,Nordeste
159,2025-04-27,Webcam Full HD,Periféricos,2,265.03,Pedro,Norte
160,2025-09-06,Webcam Full HD,Periféricos,4,850.0,Juliana,Sudeste
161,2025-05-17,"Monitor 24""",Informática,4,123.44,Fernando,Centro-Oeste
162,2025-11-22,Roteador Wi-Fi,Informática,2,855.78,Ana,Sul
163,2025-09-07,Mesa de Escritório,Móveis,2,935.77,Maria,Norte
164,2025-09-02,Impressora,Periféricos,2,503.11,Carlos,Sul
165,2025-03-18,SSD 1TB,Informática,2,1308.32,Pedro,Nordeste
166,2025-04-06,Roteador Wi-Fi,Informática,2,1098.95,Juliana,Sul
167,2025-02-02,Impressora,Periféricos,3,1455.63,Fernando,Sudeste
168,2025-01-02,SSD 1TB,Informática,3,1438.38,Ana,Sul
169,2025-07-15,Roteador Wi-Fi,Informática,2,151.01,Juliana,Nordeste
170,2025-03-27,Webcam Full HD,Periféricos,2,1188.44,Pedro,Sul
171,2025-06-15,Mesa de Escritório,Móveis,4,165.61,Fernando,Norte
172,2025-06-23,Impressora,Periféricos,3,635.74,Juliana,Norte
173,2025-10-29,Cadeira Office,Móveis,3,1039.7,Paula,Sul
174,2025-11-28,Cadeira Office,Móveis,3,1213.54,João,Nordeste
175,2025-12-26,SSD 1TB,Informática,4,1001.26,João,Nordeste
176,2025-09-08,"Monitor 24""",Informática,1,804.16,Carlos,Nordeste
177,2025-05-11,Roteador Wi-Fi,Informática,2,1294.67,Juliana,Centro-Oeste
178,2025-07-20,Mesa de Escritório,Móveis,4,1427.89,Paula,Norte
179,2025-02-08,"Monitor 24""",Informática,2,1334.04,Juliana,Norte
180,2025-08-19,SSD 1TB,Informática,1,1414.33,Fernando,Sul
181,2025-04-09,Fone de Ouvido,Periféricos,4,109.95,Pedro,Centro-Oeste
182,2025-05-06,Teclado Mecânico,Informática,2,1048.56,Juliana,Norte
183,2025-09-15,Mouse Gamer,Informática,2,698.49,Carlos,Sul
184,2025-04-23,Fone de Ouvido,Periféricos,1,947.86,Ana,Nordeste
185,2025-01-11,SSD 1TB,Informática,1,652.02,Maria,Norte
186,2025-03-21,Fone de Ouvido,Periféricos,4,910.71,João,Norte
187,2025-10-13,Roteador Wi-Fi,Informática,2,995.66,Maria,Centro-Oeste
188,2025-07-29,"Monitor 24""",Informática,2,570.65,Carlos,Centro-Oeste
189,2025-07-19,Roteador Wi-Fi,Informática,2,459.1,Ana,Centro-Oeste
190,2025-03-08,Teclado Mecânico,Informática,2,1018.72,João,Norte
191,2025-09-10,Roteador Wi-Fi,Informática,1,1066.22,Ana,Sudeste
192,2025-09-16,Webcam Full HD,Periféricos,2,580.04,Carlos,Sudeste
193,2025-04-04,Mesa de Escritório,Móveis,3,1203.5,Maria,Nordeste
194,2025-12-28,"Monitor 24""",Informática,4,783.06,Ana,Sul
195,2025-01-09,"Monitor 24""",Informática,2,1495.84,Carlos,Centro-Oeste
196,2025-12-24,"Monitor 24""",Informática,2,695.39,Ana,Centro-Oeste
197,2025-10-26,Webcam Full HD,Periféricos,4,1028.07,Fernando,Centro-Oeste
198,2025-06-05,Teclado Mecânico,Informática,1,73.58,Pedro,Sul
199,2025-01-20,Roteador Wi-Fi,Informática,1,584.14,Juliana,Sudeste
200,2025-09-27,Teclado Mecânico,Informática,2,1359.65,Carlos,Norte
201,2025-06-10,SSD 1TB,Informática,1,1396.38,Paula,Centro-Oeste
202,2025-02-16,Teclado Mecânico,Informática,3,275.63,Fernando,Nordeste
203,2025-02-24,Webcam Full HD,Periféricos,2,188.93,Ana,Sudeste
204,2025-05-13,Webcam Full HD,Periféricos,4,1022.69,Ana,Centro-Oeste
205,2025-07-25,SSD 1TB,Informática,2,1446.28,Fernando,Nordeste
206,2025-02-25,"Monitor 24""",Informática,4,1380.35,Fernando,Nordeste
207,2025-04-16,Fone de Ouvido,Periféricos,4,137.78,Ana,Nordeste
208,2025-09-05,Mesa de Escritório,Móveis,3,777.43,Fernando,Centro-Oeste
209,2025-05-06,Fone de Ouvido,Periféricos,1,327.21,Pedro,Centro-Oeste
210,2025-07-29,Impressora,Periféricos,2,377.91,Pedro,Sudeste
211,2025-04-13,Impressora,Periféricos,4,591.3,Fernando,Sudeste
212,2025-07-18,Teclado Mecânico,Informática,3,785.02,Carlos,Norte
213,2025-01-02,Cadeira Office,Móveis,1,1079.94,Maria,Sudeste
214,2025-11-03,Cadeira Office,Móveis,1,235.45,Juliana,Sudeste
215,2025-04-06,SSD 1TB,Informática,1,626.06,Maria,Sul
216,2025-02-25,Impressora,Periféricos,2,1412.85,Pedro,Nordeste
217,2025-04-03,Fone de Ouvido,Periféricos,1,1461.13,Paula,Sul
218,2025-02-06,Impressora,Periféricos,4,617.16,João,Sul
219,2025-07-25,Cadeira Office,Móveis,2,475.72,Fernando,Nordeste
220,2025-02-25,Mesa de Escritório,Móveis,4,224.34,Ana,Sudeste
221,2025-07-27,Cadeira Office,Móveis,4,110.76,Juliana,Sudeste
222,2025-12-27,Teclado Mecânico,Informática,4,1235.3,Juliana,Nordeste
223,2025-04-30,Mouse Gamer,Informática,4,1182.94,João,Norte
224,2025-10-11,Cadeira Office,Móveis,3,916.28,Carlos,Centro-Oeste
225,2025-10-08,Mesa de Escritório,Móveis,4,1451.27,João,Norte
226,2025-06-03,Mesa de Escritório,Móveis,3,220.12,Juliana,Sul
227,2025-07-06,Teclado Mecânico,Informática,1,224.02,João,Centro-Oeste
228,2025-12-28,Roteador Wi-Fi,Informática,1,231.85,Maria,Sul
229,2025-05-01,Cadeira Office,Móveis,3,179.9,Ana,Nordeste
230,2025-12-17,SSD 1TB,Informática,2,232.39,Maria,Centro-Oeste
231,2025-05-01,Impressora,Periféricos,3,1425.43,João,Centro-Oeste
232,2025-11-02,Webcam Full HD,Periféricos,4,1396.55,Pedro,Sudeste
233,2025-12-31,Fone de Ouvido,Periféricos,2,125.4,Fernando,Centro-Oeste
234,2025-01-07,Mesa de Escritório,Móveis,1,931.42,Maria,Nordeste
235,2025-03-31,Teclado Mecânico,Informática,2,300.76,Juliana,Nordeste
236,2025-09-21,Mouse Gamer,Informática,2,236.42,Maria,Sudeste
237,2025-01-01,SSD 1TB,Informática,4,985.97,Paula,Sudeste
238,2025-10-29,Mouse Gamer,Informática,1,997.53,Paula,Nordeste
239,2025-06-14,Mouse Gamer,Informática,1,851.98,João,Nordeste
240,2025-02-19,SSD 1TB,Informática,4,444.36,Pedro,Sul
241,2025-06-05,Teclado Mecânico,Informática,4,420.75,Carlos,Nordeste
242,2025-11-13,Impressora,Periféricos,4,644.72,Fernando,Sudeste
243,2025-05-14,Roteador Wi-Fi,Informática,1,550.67,Paula,Nordeste
244,2025-09-06,Fone de Ouvido,Periféricos,3,1491.39,Paula,Centro-Oeste
245,2025-01-28,Cadeira Office,Móveis,4,1218.3,Maria,Nordeste
246,2025-11-01,Cadeira Office,Móveis,3,850.48,Fernando,Nordeste
247,2025-04-19,Cadeira Office,Móveis,4,1207.35,Paula,Centro-Oeste
248,2025-12-20,Impressora,Periféricos,4,439.09,Fernando,Norte
249,2025-10-06,Webcam Full HD,Periféricos,4,589.59,Pedro,Sul
250,2025-09-21,Teclado Mecânico,Informática,2,1394.88,Ana,Sudeste
251,2025-07-26,SSD 1TB,Informática,4,861.17,Pedro,Nordeste
252,2025-11-06,Teclado Mecânico,Informática,4,1243.89,Maria,Sul
253,2025-11-07,Roteador Wi-Fi,Informática,2,1406.25,Pedro,Centro-Oeste
254,2025-01-08,Mesa de Escritório,Móveis,2,573.21,Pedro,Centro-Oeste
255,2025-01-21,Mouse Gamer,Informática,3,171.52,Fernando,Sul
256,2025-04-01,Webcam Full HD,Periféricos,4,996.22,Maria,Norte
257,2025-02-21,Fone de Ouvido,Periféricos,1,785.06,Pedro,Sul
258,2025-06-15,Roteador Wi-Fi,Informática,4,1092.17,Pedro,Sul
259,2025-10-19,Teclado Mecânico,Informática,1,1224.06,Carlos,Norte
260,2025-05-05,Mouse Gamer,Informática,1,76.56,João,Centro-Oeste
261,2025-06-12,Impressora,Periféricos,4,1283.02,Juliana,Sudeste
262,2025-02-11,SSD 1TB,Informática,1,1045.27,Pedro,Sul
263,2025-05-10,Mesa de Escritório,Móveis,2,787.13,João,Sudeste
264,2025-11-20,Roteador Wi-Fi,Informática,4,728.36,Fernando,Sudeste
265,2025-06-30,Roteador Wi-Fi,Informática,3,623.28,Pedro,Sul
266,2025-04-14,Impressora,Periféricos,4,651.16,João,Centro-Oeste
267,2025-01-08,Teclado Mecânico,Informática,1,705.47,Maria,Norte
268,2025-02-06,Roteador Wi-Fi,Informática,1,129.55,Fernando,Nordeste
269,2025-04-14,Impressora,Periféricos,2,853.13,Pedro,Centro-Oeste
270,2025-11-12,SSD 1TB,Informática,1,572.21,Ana,Nordeste
271,2025-05-12,Teclado Mecânico,Informática,1,199.8,Ana,Centro-Oeste
272,2025-07-30,SSD 1TB,Informática,2,738.3,Maria,Nordeste
273,2025-01-16,Fone de Ouvido,Periféricos,1,474.19,Fernando,Nordeste
274,2025-04-09,"Monitor 24""",Informática,1,76.15,Juliana,Sul
275,2025-12-27,SSD 1TB,Informática,4,297.51,Carlos,Sudeste
276,2025-09-04,SSD 1TB,Informática,3,989.72,Maria,Norte
277,2025-10-04,Mouse Gamer,Informática,3,142.77,Paula,Sul
278,2025-05-02,Fone de Ouvido,Periféricos,4,315.12,João,Sudeste
279,2025-10-22,Roteador Wi-Fi,Informática,4,559.62,Fernando,Sudeste
280,2025-04-17,Teclado Mecânico,Informática,1,1080.5,Maria,Centro-Oeste
281,2025-07-08,"Monitor 24""",Informática,3,997.79,Maria,Sul
282,2025-05-04,Fone de Ouvido,Periféricos,4,1203.58,Paula,Nordeste
283,2025-01-09,Roteador Wi-Fi,Informática,1,850.39,Fernando,Sul
284,2025-04-26,Webcam Full HD,Periféricos,2,941.57,João,Centro-Oeste
285,2025-08-17,Roteador Wi-Fi,Informática,4,1413.52,Pedro,Sudeste
286,2025-08-02,Webcam Full HD,Periféricos,1,178.93,Ana,Sul
287,2025-11-16,Webcam Full HD,Periféricos,3,1204.25,Carlos,Sudeste
288,2025-06-19,Cadeira Office,Móveis,1,885.74,João,Centro-Oeste
289,2025-02-08,Webcam Full HD,Periféricos,4,1018.79,Fernando,Sul
290,2025-10-24,Webcam Full HD,Periféricos,3,972.92,Paula,Norte
291,2025-06-22,Webcam Full HD,Periféricos,4,1238.44,Pedro,Nordeste
292,2025-12-04,SSD 1TB,Informática,3,283.58,João,Centro-Oeste
293,2025-05-04,Cadeira Office,Móveis,3,1171.0,Carlos,Sudeste
294,2025-08-27,Impressora,Periféricos,1,416.54,Juliana,Centro-Oeste
295,2025-08-25,Fone de Ouvido,Periféricos,1,1039.34,Paula,Sul
296,2025-01-08,Fone de Ouvido,Periféricos,3,593.51,Maria,Nordeste
297,2025-08-27,Cadeira Office,Móveis,3,1075.98,Maria,Sul
298,2025-09-01,Impressora,Periféricos,3,1381.77,João,Nordeste
299,2025-01-17,Mesa de Escritório,Móveis,2,503.19,Fernando,Sudeste
300,2025-06-22,Impressora,Periféricos,2,599.59,Pedro,Sul
301,2025-06-28,"Monitor 24""",Informática,4,1422.74,Fernando,Sudeste
302,2025-05-11,Impressora,Periféricos,1,316.8,Pedro,Nordeste
303,2025-04-07,Mouse Gamer,Informática,2,513.11,João,Sul
304,2025-01-28,Mesa de Escritório,Móveis,2,1272.92,Carlos,Nordeste
305,2025-01-10,Cadeira Office,Móveis,1,238.1,Carlos,Norte
306,2025-04-28,Teclado Mecânico,Informática,1,141.36,Ana,Sul
307,2025-03-09,Impressora,Periféricos,4,561.11,Juliana,Norte
308,2025-02-02,"Monitor 24""",Informática,2,55.63,Juliana,Sul
309,2025-12-21,Teclado Mecânico,Informática,4,494.4,Fernando,Sudeste
310,2025-11-03,"Monitor 24""",Informática,4,976.49,Maria,Sul
311,2025-05-17,SSD 1TB,Informática,3,444.89,Paula,Centro-Oeste
312,2025-10-31,Fone de Ouvido,Periféricos,2,1298.23,Juliana,Centro-Oeste
313,2025-10-26,Mesa de Escritório,Móveis,2,419.27,Pedro,Sudeste
314,2025-10-08,Impressora,Periféricos,1,383.93,Pedro,Sudeste
315,2025-08-29,Webcam Full HD,Periféricos,3,1408.12,Maria,Centro-Oeste
316,2025-09-24,Cadeira Office,Móveis,3,1117.24,Pedro,Sudeste
317,2025-04-07,Fone de Ouvido,Periféricos,1,53.92,Maria,Sul
318,2025-11-11,Impressora,Periféricos,3,620.59,Pedro,Sul
319,2025-01-13,Roteador Wi-Fi,Informática,3,918.23,Juliana,Nordeste
320,2025-08-14,Impressora,Periféricos,2,430.99,Juliana,Nordeste
321,2025-02-23,Fone de Ouvido,Periféricos,3,1394.79,Paula,Sudeste
322,2025-10-30,Fone de Ouvido,Periféricos,2,901.3,Paula,Norte
323,2025-08-21,Teclado Mecânico,Informática,2,839.84,Paula,Centro-Oeste
324,2025-05-17,Mouse Gamer,Informática,1,463.68,Carlos,Sul
325,2025-05-13,Mesa de Escritório,Móveis,4,154.72,Carlos,Sudeste
326,2025-03-16,Cadeira Office,Móveis,2,1166.71,Maria,Sul
327,2025-12-26,Fone de Ouvido,Periféricos,2,927.46,João,Sul
328,2025-06-04,SSD 1TB,Informática,1,436.72,Juliana,Nordeste
329,2025-06-01,Mesa de Escritório,Móveis,1,1292.66,Maria,Centro-Oeste
330,2025-10-31,Impressora,Periféricos,4,660.0,Carlos,Sudeste
331,2025-10-27,"Monitor 24""",Informática,1,298.2,Maria,Nordeste
332,2025-06-20,Mesa de Escritório,Móveis,4,1426.08,Pedro,Centro-Oeste
333,2025-02-18,Mouse Gamer,Informática,1,1442.54,João,Sul
334,2025-08-10,Mesa de Escritório,Móveis,2,778.67,Paula,Nordeste
335,2025-03-27,Webcam Full HD,Periféricos,4,337.29,Fernando,Sul
336,2025-01-19,Impressora,Periféricos,1,1132.57,Fernando,Sudeste
337,2025-05-21,Mouse Gamer,Informática,1,115.27,Pedro,Centro-Oeste
338,2025-03-29,Cadeira Office,Móveis,2,540.99,Juliana,Nordeste
339,2025-11-18,SSD 1TB,Informática,2,1157.71,Fernando,Sul
340,2025-04-25,Impressora,Periféricos,4,1316.11,Paula,Sul
341,2025-11-18,Mouse Gamer,Informática,2,695.93,Paula,Sudeste
342,2025-12-31,Fone de Ouvido,Periféricos,2,696.73,Ana,Nordeste
343,2025-05-05,Cadeira Office,Móveis,3,1412.04,Pedro,Sudeste
344,2025-05-31,Fone de Ouvido,Periféricos,4,182.53,Carlos,Norte
345,2025-02-13,Roteador Wi-Fi,Informática,1,812.85,Fernando,Sudeste
346,2025-05-02,"Monitor 24""",Informática,3,1079.54,Maria,Norte
347,2025-02-18,SSD 1TB,Informática,1,901.94,Maria,Nordeste
348,2025-11-20,"Monitor 24""",Informática,2,920.24,Ana,Centro-Oeste
349,2025-04-08,Mouse Gamer,Informática,3,1257.18,Ana,Sul
350,2025-08-07,Cadeira Office,Móveis,1,1058.77,Carlos,Sul
351,2025-12-19,Teclado Mecânico,Informática,3,1497.31,Pedro,Norte
352,2025-10-11,Cadeira Office,Móveis,1,220.01,Carlos,Sudeste
353,2025-04-08,SSD 1TB,Informática,2,1252.35,Fernando,Sudeste
354,2025-08-05,SSD 1TB,Informática,4,1062.72,Ana,Sul
